gsid,formal_name,district,station_id,year,month,max_temp
194,Butwal,Rupandehi,703,1990,1,21.8
194,Butwal,Rupandehi,703,1990,2,24.7
194,Butwal,Rupandehi,703,1990,3,29.9
194,Butwal,Rupandehi,703,1990,4,34.6
194,Butwal,Rupandehi,703,1990,5,33.5
194,Butwal,Rupandehi,703,1990,6,34.3
194,Butwal,Rupandehi,703,1990,7,31.8
194,Butwal,Rupandehi,703,1990,8,32.8
194,Butwal,Rupandehi,703,1990,9,32.6
194,Butwal,Rupandehi,703,1990,10,30.2
194,Butwal,Rupandehi,703,1990,11,30.5
194,Butwal,Rupandehi,703,1990,12,25.3
194,Butwal,Rupandehi,703,1991,1,21.9
194,Butwal,Rupandehi,703,1991,2,26.1
194,Butwal,Rupandehi,703,1991,3,30.5
194,Butwal,Rupandehi,703,1991,4,33.8
194,Butwal,Rupandehi,703,1991,5,35.7
194,Butwal,Rupandehi,703,1991,6,32.8
194,Butwal,Rupandehi,703,1991,7,31.8
194,Butwal,Rupandehi,703,1991,8,32
194,Butwal,Rupandehi,703,1991,9,32.6
194,Butwal,Rupandehi,703,1991,10,31.2
194,Butwal,Rupandehi,703,1991,11,28.2
194,Butwal,Rupandehi,703,1991,12,23.7
194,Butwal,Rupandehi,703,1992,1,20.8
194,Butwal,Rupandehi,703,1992,2,22.4
194,Butwal,Rupandehi,703,1992,3,31.9
194,Butwal,Rupandehi,703,1992,4,36.9
194,Butwal,Rupandehi,703,1992,5,36.4
194,Butwal,Rupandehi,703,1992,6,36.3
194,Butwal,Rupandehi,703,1992,7,32.6
194,Butwal,Rupandehi,703,1992,8,32.3
194,Butwal,Rupandehi,703,1992,9,31.6
194,Butwal,Rupandehi,703,1992,10,31.1
194,Butwal,Rupandehi,703,1992,11,26.9
194,Butwal,Rupandehi,703,1992,12,21.5
194,Butwal,Rupandehi,703,1993,1,19.2
194,Butwal,Rupandehi,703,1993,2,26.6
194,Butwal,Rupandehi,703,1993,3,29
194,Butwal,Rupandehi,703,1993,4,33.8
194,Butwal,Rupandehi,703,1993,5,34.1
194,Butwal,Rupandehi,703,1993,6,34.5
194,Butwal,Rupandehi,703,1993,7,33.1
194,Butwal,Rupandehi,703,1993,8,32
194,Butwal,Rupandehi,703,1993,9,32
194,Butwal,Rupandehi,703,1993,10,32.6
194,Butwal,Rupandehi,703,1993,11,29.2
194,Butwal,Rupandehi,703,1993,12,26
194,Butwal,Rupandehi,703,1994,1,23.6
194,Butwal,Rupandehi,703,1994,2,25.6
194,Butwal,Rupandehi,703,1994,3,31.5
194,Butwal,Rupandehi,703,1994,4,36.6
194,Butwal,Rupandehi,703,1994,5,38
194,Butwal,Rupandehi,703,1994,6,35.6
194,Butwal,Rupandehi,703,1994,7,33.7
194,Butwal,Rupandehi,703,1994,8,33.9
194,Butwal,Rupandehi,703,1994,9,33
194,Butwal,Rupandehi,703,1994,10,32
194,Butwal,Rupandehi,703,1994,11,29.8
194,Butwal,Rupandehi,703,1994,12,25.6
194,Butwal,Rupandehi,703,1995,1,22.5
194,Butwal,Rupandehi,703,1995,2,26.5
194,Butwal,Rupandehi,703,1995,3,31.8
194,Butwal,Rupandehi,703,1995,4,38.4
194,Butwal,Rupandehi,703,1995,5,39.8
194,Butwal,Rupandehi,703,1995,6,34.6
194,Butwal,Rupandehi,703,1995,7,31.9
194,Butwal,Rupandehi,703,1995,8,32
194,Butwal,Rupandehi,703,1995,9,32
194,Butwal,Rupandehi,703,1995,10,31.1
194,Butwal,Rupandehi,703,1995,11,27.6
194,Butwal,Rupandehi,703,1995,12,23.8
194,Butwal,Rupandehi,703,1996,1,21.8
194,Butwal,Rupandehi,703,1996,2,24.6
194,Butwal,Rupandehi,703,1996,3,31.4
194,Butwal,Rupandehi,703,1996,4,34.7
194,Butwal,Rupandehi,703,1996,5,39.2
194,Butwal,Rupandehi,703,1996,6,35.4
194,Butwal,Rupandehi,703,1996,7,32.3
194,Butwal,Rupandehi,703,1996,8,31.9
194,Butwal,Rupandehi,703,1996,9,32.4
194,Butwal,Rupandehi,703,1996,10,30.8
194,Butwal,Rupandehi,703,1996,11,28.4
194,Butwal,Rupandehi,703,1996,12,24.8
194,Butwal,Rupandehi,703,1997,1,21.4
