gsid,index_no,station,district,year,month,day,min_temp
39,209,Dhangadhi(Attariya),Kaliali,1988,1,1,9
39,209,Dhangadhi(Attariya),Kaliali,1988,1,2,9.2
39,209,Dhangadhi(Attariya),Kaliali,1988,1,3,8.9
39,209,Dhangadhi(Attariya),Kaliali,1988,1,4,9
39,209,Dhangadhi(Attariya),Kaliali,1988,1,5,7.7
39,209,Dhangadhi(Attariya),Kaliali,1988,1,6,10.4
39,209,Dhangadhi(Attariya),Kaliali,1988,1,7,9.2
39,209,Dhangadhi(Attariya),Kaliali,1988,1,8,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,9,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,10,7
39,209,Dhangadhi(Attariya),Kaliali,1988,1,11,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,12,13.9
39,209,Dhangadhi(Attariya),Kaliali,1988,1,13,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,14,9.4
39,209,Dhangadhi(Attariya),Kaliali,1988,1,15,7.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,16,7.7
39,209,Dhangadhi(Attariya),Kaliali,1988,1,17,6.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,18,7.6
39,209,Dhangadhi(Attariya),Kaliali,1988,1,19,7.6
39,209,Dhangadhi(Attariya),Kaliali,1988,1,20,8.4
39,209,Dhangadhi(Attariya),Kaliali,1988,1,21,7.9
39,209,Dhangadhi(Attariya),Kaliali,1988,1,22,8.3
39,209,Dhangadhi(Attariya),Kaliali,1988,1,23,6.2
39,209,Dhangadhi(Attariya),Kaliali,1988,1,24,6
39,209,Dhangadhi(Attariya),Kaliali,1988,1,25,4.2
39,209,Dhangadhi(Attariya),Kaliali,1988,1,26,2.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,27,2.7
39,209,Dhangadhi(Attariya),Kaliali,1988,1,28,3.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,29,4.2
39,209,Dhangadhi(Attariya),Kaliali,1988,1,30,4.5
39,209,Dhangadhi(Attariya),Kaliali,1988,1,31,4.8
39,209,Dhangadhi(Attariya),Kaliali,1988,2,1,5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,2,7
39,209,Dhangadhi(Attariya),Kaliali,1988,2,3,8.6
39,209,Dhangadhi(Attariya),Kaliali,1988,2,4,9
39,209,Dhangadhi(Attariya),Kaliali,1988,2,5,9.4
39,209,Dhangadhi(Attariya),Kaliali,1988,2,6,10
39,209,Dhangadhi(Attariya),Kaliali,1988,2,7,8.8
39,209,Dhangadhi(Attariya),Kaliali,1988,2,8,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,9,7
39,209,Dhangadhi(Attariya),Kaliali,1988,2,10,8
39,209,Dhangadhi(Attariya),Kaliali,1988,2,11,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,12,12
39,209,Dhangadhi(Attariya),Kaliali,1988,2,13,7
39,209,Dhangadhi(Attariya),Kaliali,1988,2,14,7.3
39,209,Dhangadhi(Attariya),Kaliali,1988,2,15,7.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,16,8
39,209,Dhangadhi(Attariya),Kaliali,1988,2,17,8.4
39,209,Dhangadhi(Attariya),Kaliali,1988,2,18,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,19,9.4
39,209,Dhangadhi(Attariya),Kaliali,1988,2,20,9.9
39,209,Dhangadhi(Attariya),Kaliali,1988,2,21,13
39,209,Dhangadhi(Attariya),Kaliali,1988,2,22,12.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,23,15.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,24,13.5
39,209,Dhangadhi(Attariya),Kaliali,1988,2,25,14
39,209,Dhangadhi(Attariya),Kaliali,1988,2,26,13.2
39,209,Dhangadhi(Attariya),Kaliali,1988,2,27,12
39,209,Dhangadhi(Attariya),Kaliali,1988,2,28,7.3
39,209,Dhangadhi(Attariya),Kaliali,1988,2,29,8
39,209,Dhangadhi(Attariya),Kaliali,1988,3,1,8.3
39,209,Dhangadhi(Attariya),Kaliali,1988,3,2,8.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,3,9
39,209,Dhangadhi(Attariya),Kaliali,1988,3,4,10.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,5,11
39,209,Dhangadhi(Attariya),Kaliali,1988,3,6,10.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,7,10
39,209,Dhangadhi(Attariya),Kaliali,1988,3,8,9.7
39,209,Dhangadhi(Attariya),Kaliali,1988,3,9,15
39,209,Dhangadhi(Attariya),Kaliali,1988,3,10,15.4
39,209,Dhangadhi(Attariya),Kaliali,1988,3,11,15.6
39,209,Dhangadhi(Attariya),Kaliali,1988,3,12,16.3
39,209,Dhangadhi(Attariya),Kaliali,1988,3,13,14.9
39,209,Dhangadhi(Attariya),Kaliali,1988,3,14,11.6
39,209,Dhangadhi(Attariya),Kaliali,1988,3,15,11.8
39,209,Dhangadhi(Attariya),Kaliali,1988,3,16,15.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,17,15.3
39,209,Dhangadhi(Attariya),Kaliali,1988,3,18,16.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,19,15.7
39,209,Dhangadhi(Attariya),Kaliali,1988,3,20,11.3
39,209,Dhangadhi(Attariya),Kaliali,1988,3,21,12.2
39,209,Dhangadhi(Attariya),Kaliali,1988,3,22,11.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,23,12
39,209,Dhangadhi(Attariya),Kaliali,1988,3,24,14.2
39,209,Dhangadhi(Attariya),Kaliali,1988,3,25,14.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,26,13.8
39,209,Dhangadhi(Attariya),Kaliali,1988,3,27,11.2
39,209,Dhangadhi(Attariya),Kaliali,1988,3,28,13
39,209,Dhangadhi(Attariya),Kaliali,1988,3,29,13.5
39,209,Dhangadhi(Attariya),Kaliali,1988,3,30,13.3
39,209,Dhangadhi(Attariya),Kaliali,1988,3,31,11.6
39,209,Dhangadhi(Attariya),Kaliali,1988,4,1,11.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,2,12
39,209,Dhangadhi(Attariya),Kaliali,1988,4,3,11.7
39,209,Dhangadhi(Attariya),Kaliali,1988,4,4,15.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,5,16
39,209,Dhangadhi(Attariya),Kaliali,1988,4,6,16.7
39,209,Dhangadhi(Attariya),Kaliali,1988,4,7,16.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,8,16.3
39,209,Dhangadhi(Attariya),Kaliali,1988,4,9,15
39,209,Dhangadhi(Attariya),Kaliali,1988,4,10,15.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,11,15.7
39,209,Dhangadhi(Attariya),Kaliali,1988,4,12,16
39,209,Dhangadhi(Attariya),Kaliali,1988,4,13,16
39,209,Dhangadhi(Attariya),Kaliali,1988,4,14,17.4
39,209,Dhangadhi(Attariya),Kaliali,1988,4,15,17
39,209,Dhangadhi(Attariya),Kaliali,1988,4,16,17.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,17,18
39,209,Dhangadhi(Attariya),Kaliali,1988,4,18,19.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,19,21
39,209,Dhangadhi(Attariya),Kaliali,1988,4,20,18.8
39,209,Dhangadhi(Attariya),Kaliali,1988,4,21,17.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,22,19.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,23,19.7
39,209,Dhangadhi(Attariya),Kaliali,1988,4,24,20
39,209,Dhangadhi(Attariya),Kaliali,1988,4,25,22
39,209,Dhangadhi(Attariya),Kaliali,1988,4,26,18
39,209,Dhangadhi(Attariya),Kaliali,1988,4,27,21
39,209,Dhangadhi(Attariya),Kaliali,1988,4,28,21.5
39,209,Dhangadhi(Attariya),Kaliali,1988,4,29,21.7
39,209,Dhangadhi(Attariya),Kaliali,1988,4,30,23.4
39,209,Dhangadhi(Attariya),Kaliali,1988,5,1,26
39,209,Dhangadhi(Attariya),Kaliali,1988,5,2,26.4
39,209,Dhangadhi(Attariya),Kaliali,1988,5,3,24
39,209,Dhangadhi(Attariya),Kaliali,1988,5,4,18
39,209,Dhangadhi(Attariya),Kaliali,1988,5,5,23
39,209,Dhangadhi(Attariya),Kaliali,1988,5,6,19.2
39,209,Dhangadhi(Attariya),Kaliali,1988,5,7,20.5
39,209,Dhangadhi(Attariya),Kaliali,1988,5,8,21
39,209,Dhangadhi(Attariya),Kaliali,1988,5,9,20
39,209,Dhangadhi(Attariya),Kaliali,1988,5,10,19
39,209,Dhangadhi(Attariya),Kaliali,1988,5,11,19.5
39,209,Dhangadhi(Attariya),Kaliali,1988,5,12,21
39,209,Dhangadhi(Attariya),Kaliali,1988,5,13,19.3
39,209,Dhangadhi(Attariya),Kaliali,1988,5,14,23.5
39,209,Dhangadhi(Attariya),Kaliali,1988,5,15,24.6
39,209,Dhangadhi(Attariya),Kaliali,1988,5,16,25
39,209,Dhangadhi(Attariya),Kaliali,1988,5,17,28.5
39,209,Dhangadhi(Attariya),Kaliali,1988,5,18,18.4
39,209,Dhangadhi(Attariya),Kaliali,1988,5,19,22
39,209,Dhangadhi(Attariya),Kaliali,1988,5,20,24.5
39,209,Dhangadhi(Attariya),Kaliali,1988,5,21,23.5
39,209,Dhangadhi(Attariya),Kaliali,1988,5,22,22.5
