gsid;index_no;formal_name;district;measuring_type;lon;lat;elevation
365;1;Thankot AWS;Kathmandu;Climatology;85.201.666.666.666.900;27.703.833.333.333.000;1730
295;1001;Timure;Rasuwa;Precipitation-off;85.366.225;28.253.325;1725
296;1002;Aru Ghat D.Bazar;Dhading;Precipitation-off;84.819.999.999.999.900;28.050.000.000.000.000;518
297;1003;Trisuli;Nuwakot;Climatology;85.150.000.000.000.000;27.916.666.670.000.000;595
298;1004;Nuwakot;Nuwakot;Climatology;85.164.638.888.889.000;27.914.974.999.999.900;966
299;1005;Dhading;Dhading;Climatology-off;84.896.133.333.332.900;27.912.505.555.555.900;630
300;1006;Gumthang;Sindhupalchok;Precipitation;85.859.651.944.443.900;27.855.309.999.999.900;1846
301;1007;Kakani;Nuwakot;Agrometeorology;85.269.777.777.778.000;27.814.388.888.888.900;2030
302;1008;Nawalpur;Sindhupalchok;Precipitation;85.624.099.999.999.900;27.813.061.111.111.000;1653
303;1009;Chautara;Sindhupalchok;Climatology;85.732.077.777.778.000;27.753.783.333.333.000;1552
1;101;Kakerpakha;Baitadi;Precipitation;80.538.161.111.110.900;29.658.256.944.443.900;783
304;1010;Lalitpur (Kopundol);Lalitpur;Climatology;85.333.333.330.000.000;2.768.333.333;1303
305;1011;Kathmandu (Usaid);Kathmandu;Climatology;85.333.333.330.000.000;27.699.999.999.999.900;1335
306;1012;Sundari Jal(Pwr.House);Kathmandu;Precipitation;85.416.666.669.999.900;27.75;1380
307;1013;Sundari Jal(Water Res.);Kathmandu;Precipitation;85.433.333.329.999.900;27.783.333.330.000.000;1600
308;1014;Kathmandu ( I. E. );Kathmandu;Climatology;85.333.333.330.000.000;27.733.333.330.000.000;1324
309;1015;Thankot;Kathmandu;Precipitation;85.221.313.888.889;27.688.197.222.222.000;1457
310;1016;Sarmathang;Sindhupalchok;Climatology;85.595.136.111.111.000;27.944.561.111.111;2574
311;1017;Duwachaur;Sindhupalchok;Precipitation;85.566.950.000.000.000;27.857.761.111.111;1483
312;1018;Bahunipati;Sindhupalchok;Precipitation;85.572.661.111.111.000;27.792.366.666.667;774
313;1019;Ranipauwa;Nuwakot;Agrometeorology;85.233.333.329.999.900;2.781.666.667;1828
2;102;Baitadi;Baltadi;Climatology;80.413.173.888.889.000;29.557.436.944.443.900;1352
314;1020;Mandan;Kabhre;Precipitation-off;85.635.637.000.000.000;27.693.823.888.889;1358
315;1021;Kritipur (Bagban);Lalitpur;Agrometeorology;85.299.999.999.999.900;2.768.333.333;1364
316;1022;Godavari;Lalitpur;Climatology;85.378.833.333.333.000;27.592.916.666.667.000;1527
317;1023;Dolal Ghat;Kabhre;Precipitation;85.704.980.833.332.900;27.638.821.944.444;659
318;1024;Dhulikhel;Kabhre;Climatology;85.565.502.777.777.900;27.616.116.666.667.000;1543
319;1025;Dhap;Sindhupalchok;Precipitation;85.633.379.000.000.000;27.912.451.944.444.000;1284
